"129","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","사람들은 원한다 / 지도자를 따르는 것을 (긍정적인 감정 상태를 지닌).","{{c1::People want to follow leaders with positive emotional states.}}","people / want / to follow / leaders / with positive emotional states","","",""
"130","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","더 행복한 삶을 위해서, / 그만두어라 / 다른 이들의 기대에 따라 사는 것을.","{{c1::For a happier life, quit living according to others’ expectations.}}","for a happier life, / quit / living / according to / others’ expectations","","",""
"131","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","사람들은 (건강 상태가 괜찮은 / 나이 60세에) / 기대할 수 있다 / 30년 가까이 더 살 것을.","{{c1::People in good health at the age of 60 can expect to live close to thirty more years.}}","people / in good health / at the age of 60 / can expect / to live / close to / thirty more years","","",""
"132","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","반 고흐는 결심했다 / 화가가 되기로 // 그가 27세였을 때.","{{c1::Van Gogh decided to become an artist when he was 27 years old.}}","Van Gogh / decided / to become an artist / when / he / was / 27 years old","","",""
"133","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","어떤 사람들은 결정한다 / 성취감을 주지 못하는 직업을 그만두지 않기로 // 미지의 것이 두려 워서.","{{c1::Some people choose not to leave an unfulfilling job because they fear the unknown.}}","some people / choose / not / to leave / an unfulfilling job / because / they / fear / the unknown","","",""
"134","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","사람은 결코 계획하지 않는다 / 실패자가 되는 것을. // 그들은 단지 하지 못할 뿐이다 / 성공 하기로 계획하는 것을.","{{c1::People never plan to be failures; they simply fail to plan to be successful.}}","people / never / plan / to be failures / they / simply / fail / to plan / to / be / successful","","",""
"135","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","훌륭한 작가들은 어떻게든 해낸다 / 관심을 끌어내는 것을 (독자들의) / 1페이지부터.","{{c1::Great storytellers manage to grab the attention of readers from page one.}}","great storytellers / manage / to / grab the attention of readers / from page one","","",""
"136","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","영국은 끝냈다 / 유럽연합의 멤버인 것을 / 2020년에.","{{c1::The UK stopped being a member of the EU in 2020.}}","the UK / stopped / being / a member of the EU in 2020","","",""
"137","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","그는 시인하지 않았다 / 지역 정치인들에게 돈을 준 것을.","{{c1::He didn’t admit giving money to local politicians.}}","he / didn’t admit / giving money / to local politicians","","",""
"138","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","피하지 마라 / 네 행동에 대해 책임지는 것을 / 어떤 상황에서도.","{{c1::Do not avoid taking responsibility for your actions in any situation.}}","do not / avoid / taking responsibility / for your actions / in any situation","","",""
"139","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","너는 고려해야 한다 / 네 오래된 비밀번호를 정기적으로 바꾸는 것을.","{{c1::You should consider changing your old passwords regularly.}}","you / should consider / changing / your old passwords / regularly ","","",""
"140","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","많은 사람들이 미룬다 / 치과에 가는 것을 / 치료에 대한 두려움 때문에.","{{c1::Many people put off going to the dentist because of their fear of treatment.}}","many people / put off / going / to the dentist / because of / their fear of treatment","","",""
"141","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","나는 모르겠다 / 프로필 사진으로 무엇을 선택할지를.","{{c1::I don’t know what to choose as a profile picture.}}","I / don’t know / what / to choose / as a profile picture","","",""
"142","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","그는 나에게 말했다 / 어디로 갈지를, / 하지만 거기에 어떻게 갈지를 말하지 않았다.","{{c1::He told me where to go, but not how to get there.}}","he / told / me / where / to go / but / not / how / to get there","","",""
"143","CHAPTER 03 목적어의 이해","UNIT 15 to부정사 / 동명사 목적어Ⅰ","문장을 완성하라.","나는 물어보았다 / 얼음이나 열을 언제 써야 할지를 / 상처에.","{{c1::I asked when to use ice or heat on an injury.}}","I / asked / when / to use / ice or heat / on an injury","","",""
"144","CHAPTER 03 목적어의 이해","UNIT 16 to부정사 / 동명사 목적어Ⅱ","문장을 완성하라.","인간은 매우 좋아한다 / 궁금해하기를, // 그리고 그것이 씨앗이다","{{c1::Men love to wonder[wondering], and that is the seed of science.}}","men / love / to wonder[wondering] / and / that / is / the seed of science","","",""
"145","CHAPTER 03 목적어의 이해","UNIT 16 to부정사 / 동명사 목적어Ⅱ","문장을 완성하라.","일부 소설가들은 선호한다 / 가능한 한 많은 등장인물들을 포함시키는 것을 / 자신들의 이야기 속에.","{{c1::Some novelists prefer to include[including] as many characters as possible in their stories.}}","some novelists / prefer / to include[including] / as many characters / as possible / in their stories","","",""
"146","CHAPTER 03 목적어의 이해","UNIT 16 to부정사 / 동명사 목적어Ⅱ","문장을 완성하라.","당신은 목마름을 느끼기 시작한다 // 당신의 신체가 잃으면 / 1%를 (체내 수분의).","{{c1::You begin to feel[feeling] thirsty when your body loses 1% of its water.}}","you / begin / to feel[feeling] / thirsty / when / your body / loses / 1% of its water","","",""
