ID,Category,Unit,Rubric,Translation,Question,Choices,Solution,Image,Tags
657,CHAPTER 12 관계사절,UNIT 64 주격 / 소유격 관계대명사,문장을 완성하라.,모든 팀은 리더를 필요로 한다 [다른 이들에게 동기를 부여하는].,{{c1::Every team needs a leader who motivates others.}},every team / needs / a leader / who / motivates / others,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_64_주격_소유격_관계대명사
658,CHAPTER 12 관계사절,UNIT 64 주격 / 소유격 관계대명사,문장을 완성하라.,아이들은 [정크 푸드를 주기적으로 먹는] / 건강에 좋은 음식을 먹고 싶어 하지 않는다.,{{c1::Kids who eat junk food regularly are not hungry for healthy food.}},kids / who / eat / junk food regularly / are / not / hungry / for / healthy food,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_64_주격_소유격_관계대명사
659,CHAPTER 12 관계사절,UNIT 64 주격 / 소유격 관계대명사,문장을 완성하라.,최고의 등장인물은 (그 영화의) / 악당이다 [그의 목적이 세계를 파괴하는 것인].,{{c1::The best character of the film is a villain whose aim is to destroy the world.}},the best character / of / the film / is / a villain / whose / aim / is / to / destroy / the world,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_64_주격_소유격_관계대명사
660,CHAPTER 12 관계사절,UNIT 64 주격 / 소유격 관계대명사,문장을 완성하라.,미래는 사람들의 것이다 [자신들의 꿈의 아름다움을 믿는].,{{c1::The future belongs to those who believe in the beauty of their dreams.}},the future / belongs / to / those / who / believe in / the beauty of their dreams,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_64_주격_소유격_관계대명사
661,CHAPTER 12 관계사절,UNIT 64 주격 / 소유격 관계대명사,문장을 완성하라.,아스피린은 하나다 (약 중에) [의사의 처방전을 필요로 하지 않는 / 그것들의 사용을 위해].,{{c1::Aspirin is one of the drugs which don’t require a doctor’s prescription for their use.}},aspirin / is / one of the drugs / which / don’t require / a doctor’s prescription / for / their use,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_64_주격_소유격_관계대명사
662,CHAPTER 12 관계사절,UNIT 64 주격 / 소유격 관계대명사,문장을 완성하라.,그들은 좋은 이웃이다 [행복하게 사는 / 나란히 있는 집에서].,{{c1::They are good neighbors that live happily in houses next to each other.}},they / are / good neighbors / that / live happily / in houses / next to / each other,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_64_주격_소유격_관계대명사
663,CHAPTER 12 관계사절,UNIT 64 주격 / 소유격 관계대명사,문장을 완성하라.,날마다 / 무언가를 하라 [당신을 데려다줄 / 더 나은 내일로 더 가까이].,{{c1::Every day do something that will bring you closer to a better tomorrow.}},every day / do / something / that / will bring / you / closer / to / a better tomorrow,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_64_주격_소유격_관계대명사
664,CHAPTER 12 관계사절,UNIT 64 주격 / 소유격 관계대명사,문장을 완성하라.,"보고서를 쓸 때, / 당신은 문장을 쓰지 말아야 한다 [그것의 의미가 불분명한].","{{c1::When writing a report, you should not use a sentence whose meaning is unclear.}}",when / writing / a report / you / should not / use / a sentence / whose / meaning / is / unclear,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_64_주격_소유격_관계대명사
665,CHAPTER 12 관계사절,UNIT 64 주격 / 소유격 관계대명사,문장을 완성하라.,"멘토는 누군가이다 [그의 일이나 삶이 존경받는, / 그리고 다른 이들에게 좋은 지도자인].","{{c1::A mentor is someone whose work or life is admired, and who is a good guide to others.}}",a mentor / is / someone / whose / work or life / is / admired / and / who / is / a good guide to others,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_64_주격_소유격_관계대명사
666,CHAPTER 12 관계사절,UNIT 64 주격 / 소유격 관계대명사,문장을 완성하라.,사람들은 [그들의 식단이 비타민을 다량 함유하고 있는] / 몇몇 종류의 암에 걸릴 가능성이 더 낮다.,{{c1::People whose diets are rich in vitamins are less likely to develop some types of cancer.}},people / whose / diets / are / rich / in vitamins / are / less likely to / develop / some types of cancer,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_64_주격_소유격_관계대명사
667,CHAPTER 12 관계사절,UNIT 65 목적격 관계대명사,문장을 완성하라.,누군가를 판단하지 마라 [당신이 완전히 알지도 못하는].,{{c1::Never judge someone whom you don’t even fully know.}},never / judge / someone / whom / you / don’t even fully know,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_65_목적격_관계대명사
668,CHAPTER 12 관계사절,UNIT 65 목적격 관계대명사,문장을 완성하라.,나는 몇몇 친구가 있다 [내가 오랫동안 보지 못한 / 그리고 내가 간절히 만나고 싶어 하는].,{{c1::I have some friends who I haven’t seen for a long time and who I am eager to meet.}},I / have / some friends / who / I / haven’t / seen / for a long time / and / who / I / am eager to meet,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_65_목적격_관계대명사
669,CHAPTER 12 관계사절,UNIT 65 목적격 관계대명사,문장을 완성하라.,모든 아이들은 안전한 공간을 필요로 한다 [그들이 자라나고 성장할 수 있는].,{{c1::All children need a safe space in which they can grow and develop.}},all children / need / a safe space / in / which / they / can / grow and develop,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_65_목적격_관계대명사
670,CHAPTER 12 관계사절,UNIT 65 목적격 관계대명사,문장을 완성하라.,개들은 (공항에서 일하는) / 냄새로 물건들을 찾아낸다 [사람들이 들여오지 않기로 되어 있는].,{{c1::Dogs working at airports sniff out things which people are not supposed to bring in.}},dogs / working / at airports / sniff out / things / which / people / are not supposed to / bring in,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_65_목적격_관계대명사
671,CHAPTER 12 관계사절,UNIT 65 목적격 관계대명사,문장을 완성하라.,"사람들이 사람들이나 물건들을 마주칠 때 [그들이 좋아하는], // (눈을) 깜박이는 비율이 증가한 다.","{{c1::When people encounter people or things that they like, the rate of blinking increases.}}",when / people / encounter / people or things / that / they / like / the rate of blinking / increases,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_65_목적격_관계대명사
672,CHAPTER 12 관계사절,UNIT 65 목적격 관계대명사,문장을 완성하라.,"친구는 사람이다 [내가 진실할 수 있는]. 그 앞에서, / 나는 생각을 입 밖에 낼 수 있다.","{{c1::A friend is a person with whom I may be sincere. Before him, I may think aloud.}}",a friend / is / a person / with / whom / I / may be / sincere / before him / I / may / think / aloud,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_65_목적격_관계대명사
673,CHAPTER 12 관계사절,UNIT 65 목적격 관계대명사,문장을 완성하라.,사람들을 너의 삶에 두어라 [네가 말할 수 있는 / 일상에서의 분투에 대해].,{{c1::Have people in your life who you can talk to about your daily struggles.}},have / people / in your life / who / you / can / talk to / about / your daily struggles,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_65_목적격_관계대명사
674,CHAPTER 12 관계사절,UNIT 65 목적격 관계대명사,문장을 완성하라.,"간단한 어휘들을 써라 [당신의 독자들이 이해할], / 그리고 어휘들을 쓰지 마라 [그들이 찾아봐 야 할].","{{c1::Use simple words which your readers will understand, and not words which they will have to look up.}}",use / simple words / which / your readers / will understand / and / not words / which / they / will / have to / look up,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_65_목적격_관계대명사
675,CHAPTER 12 관계사절,UNIT 66 관계부사,문장을 완성하라.,때가 있다 [누구나 혼자 있고 싶어 하는].,{{c1::There are times when everyone wants to be alone.}},there / are / times / when / everyone / wants / to be / alone,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_66_관계부사
676,CHAPTER 12 관계사절,UNIT 66 관계부사,문장을 완성하라.,"‘브레인페이드’는 짧은 시간이다 [당신의 의식이 텅 비어있는, / 또는 무언가를 기억할 수 없는].","{{c1::“Brain fade” is a short time when your mind goes blank, or cannot remember something.}}",“brain fade” / is / a short time / when / your mind / goes blank / or / cannot / remember / something,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_66_관계부사
677,CHAPTER 12 관계사절,UNIT 66 관계부사,문장을 완성하라.,내 아이들은 나라에서 살 것이다 [그들이 판단 받지 않을 / 그들의 피부색에 의해].,{{c1::My children will live in a nation where they will not be judged by the color of their skin.}},my children / will / live in / a nation / where / they / will not / be judged / by / the color of their skin,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_66_관계부사
678,CHAPTER 12 관계사절,UNIT 66 관계부사,문장을 완성하라.,흔치 않은 경우가 있다 [곡물 가공품이 알레르기 반응을 일으킬 수 있는].,{{c1::There are uncommon cases where grain products can cause an allergic reaction.}},there are / uncommon cases / where / grain products / can / cause / an allergic reaction,,,천일문::기본편::CHAPTER_12_관계사절::UNIT_66_관계부사
